frame,Speech
1,"mitochondrion ceo 's we need it. We need a sheet.They're gonna give us those sheets.Okay, include the weights. Can we just start working on the other ones? I guess? Well we start taking those Oh, dang it. Yeah.She's gonna see which"
2,"Oh every single one of us. So we need a fenced off we needone very good okay. Yeah so we can just start from the outline Yeah, like the outer membrane. Yeah. So let's draw the outline like a capsule. It looks"
3,"Oh, yeah, label? Yeah. Would you have to label it? Just? Yeah.It's like difficult to draw to use.You just draw something just through a scanner. Yeah.Plus there isn't like a so it's a right way to draw it. I mean, you're just"
4,"outer member. It's just like you don't know. Guys.You can just have the inner and outer matrix. Matrix.DNA. Yeah.Me. Oh, maybe we should like make the representative darker. Like fully filled in. Yeah. And the"
5,Because otherwise we'll just mess everything up. I won't be able to tell what what is what it isyou can leave right away.DNA and chromosomes 17 chromosomes 70s high but we need a scale bar. Do we do it? Here?
6,"Oh no. Tell us today.I don't even mean either but we can make like, like far away.And I'm like remembering in a memory matrix everyone We'll see but it will be in a different color."
7,"We don't have to write it intospace, remember in space.But we can see.We don't have just between the two memories,just that's more than that. We know. What do we get? It's like, instead of the scale, because it will be a bit like"
8,"We know we need the scales to meet like,No, no, no, it's one micro meter. Do you know how big the mic might have been? Because on the slides that we checked, it was like, one like micro meter, but I don't know how big the mitochondrion is.It can be bigger than let's just say the say.Let's just Draw like a line as long as"
9,"one and then just write the number there. Yeah. And then you have like, yeah. And if you want to calculate the actual size, then you have to know No, but much,much. Yeah, how to scope like this.And then you write the like the actual size, like two micro meters there. And then also one micro meter."
10,"Just draw the line and write the numbers. Plus, it's like an approximate thing we don't have. We don't have the knowledge. Oops, sorry. Is this like far away? So I don't know. Maybe learning it yesterday. Yeah.Yes, this finger is supposed to be on this side. It's like Russian shy as you So, like"
11,"She loves functions.Okay, can we each take like one so it doesn't take forever because that's the thing is recording the whole point. Like Yeah, let's talk discuss and then someone writes it.Okay, sure."
12,"isn't the most complete structure already like outer membrane. So the next thing is function.Wait, because we don't have, we don't have to explain the structure of the membrane. We have to explain its function and what that is how.Explain how each structure adapted to help maximizeexactly like how our remembering is already a structure. You"
