frame,Speech
1,Discussing and writing across allpossible areas should be gonedoesn't matter really? Okay.
2,"I think we have to speak in English because they're not the rules will be in English anyway. Okay,the rules, list of rules, rules,determine assignments. We have to do it now.Let's do something. English. Okay.We'll try very hard okay. We can just start with some ideas in the rough round some"
3,"numbers.So, maybe"
4,"Is there another way to do it?You have the allergens and how the body reacts like the cells, I guess they can do it as a simulation or something. No, I think maybe,but should the rules be like positive or negative or how does itwork in chairs? I guess so. Yeah.America."
5,"RSA like, measures that so that they don't get into the wild, like know how to say that in a short snappy way."
6,"all the sprayer control here.You can write it. It's just rough notes for the factory.like to just isolate the fields when you're testing a new GMO crop, why not"
7,"And also like when growing plants the probe they have to check what the location for the gym like, if it's acceptable to grow GMOs in that location. Maybe.Because, like,like, acceptable how,"
8,"Like what is a location that isn'tokay? Like,like that's where you would grow them naturally. I don't know if you go to filters or not. You have to own a field to grow something"
9,"test spreads.So something about animals, animals can't be allowed itwas that like, we only have plants"
10,"Yeah, yeah, but I don't know. But most don't get access to the plants because it might be harmful tocheck, check, check. GMOs can be animal to animalprotection from wildlife. Likeif you're growing somethinglike for human consumption section of wildlife ah"
11,"chocolate dogsthat kind of stuff.Yeah, okay.Creepy impatient. Make sure dogs chocolate.Also good."
12,Make sure it's super weed doesn't grow.Avoid the growing super weeds. That's whyyou isolate the fields.Avoid super weedsdeveloping that's the wordma'am. That's the main thing.
13,"I was trying to think what the otherYes.Yeah, I should probablyalreadyriskslike allergic reactions, mutations within unnecessary animals or somethingunnecessary animals"
14,an animal eats a GMO on the animallimitation. Maybe we can test whether GMO can affect the animal who needs it. So the humanthat's why we need protection of wildlife.wildlife in the human running
15,"Yeah, cuz Isn't that like the whole problem is that they don't really knowwhat they do. I don't know if you could test it some other way, except for animal testing or human testing,and contest and humanskind of out. But how did they test theGMO crops that are already in use? I think they use like cells and simulations through computers. Or you have to like ask the person if he or she is willing to participate in"
16,"Yeah, that's a good point.They want to participate in they say yes.Yes, but they said yes.Human testing, yes. Human testing with the consent of them."
17,"You don't go feedingthem without them.homeless people you'll be famous ifthey don't have anything to offer Really? Well, humanhuman testing is actually a pretty good way to make money without doing anything. Yes participate you eat some stuff that potentially kills you."
